iter	Passed	Remaining
0	0	70
1	1	63
2	1	61
3	2	61
4	3	60
5	3	58
6	4	57
7	4	56
8	5	55
9	6	54
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	46
23	14	45
24	14	44
25	15	44
26	16	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	38
35	20	37
36	21	36
37	22	35
38	22	35
39	23	34
40	23	34
41	24	33
42	24	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	54	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
